,Comment,topic_1,topic_2,topic_3,topic_4,topic_5
83,exactly already better solution than the mmtf,0.0,0.0,0.0,0.0,0.0
84,the guy who wants travel the problem dude the new variant will come into singapore from changi airport,1.0,0.0,0.0,0.0,0.0
85,meanwhile the unvaxed can even earn living,0.0,0.0,0.0,0.0,0.0
86,thulomanchay actually you look steven quay lab report during the hearing covid gop conference mentions that with each mutation the virus becomes weaker never more effective that includes the rate transmission the chance that becomes more effective less than one even through very clever used five optimised forced combinations the covid hotspot gene code sequence almost impossible,0.0,1.0,0.0,1.0,0.0
87,woofwoofchs its true the other way too just need combine mutate with another make more transmissible more deadlier shrugs,0.0,0.0,0.0,1.0,0.0
88,locals will living their lives here like prisoners the foreigners will roaming around freely spreading virus our country your end time coming soon,0.0,0.0,1.0,0.0,0.0
89,auyong meng did you watch the hearing even its done cleverly under perfect lab conditions with multiple successes and not single failure throughout several years its still zero one chance aka almost impossible for more transmissable deadlier,0.0,1.0,0.0,1.0,0.0
90,avijeet well tell that the doctor who presented his work and lab studies the covid gop conference the guy has been working covid since sars unbiaised has one the best credentials with regards this virus,0.0,1.0,0.0,1.0,0.0
91,not yet will spread like wildfire since new please dun use one key for all locks not going work malaysia six year old knows that,1.0,1.0,0.0,1.0,0.0
92,will use many keys and many locks get vaccinated one key lock ask your six year old,0.0,0.0,0.0,0.0,1.0
93,just matter time,0.0,0.0,0.0,0.0,0.0
94,will come here eventually prepared,0.0,0.0,0.0,0.0,0.0
95,yeah right introducing vaccinated travel lane singapore singapore changi airport delta variant clusters won mutate right seriously naive and gullible thinkaporeans majulah kita singapura island,1.0,0.0,0.0,1.0,1.0
96,most likely they sedate the lion and his sleep pain like the man,0.0,0.0,0.0,1.0,0.0
97,,0.0,0.0,0.0,0.0,0.0
98,lions having covid sooo wrong,0.0,0.0,0.0,1.0,0.0
99,yea considering from who they got from,0.0,0.0,0.0,0.0,0.0
100,govt should start preparing for hospital capacity ready for this being more severe immunity vaccines would mean stay home recovery would not possible,0.0,0.0,1.0,0.0,0.0
101,delta scared our whining,0.0,0.0,0.0,1.0,0.0
102,clicked because alex karp the thumbnail,0.0,0.0,0.0,0.0,0.0
103,now the spike protein has been improved and made one hundred more lethal knowing that the virus was never isolated and thus lab manufactured welcome covid two zero upgraded version,0.0,0.0,0.0,1.0,1.0
104,can lockdown forever all will own nothing and happy,0.0,0.0,0.0,0.0,0.0
105,they expose united states the virus then they punish the unvaxx nice,1.0,0.0,1.0,0.0,0.0
106,safety just word only,0.0,0.0,0.0,0.0,0.0
107,fear,0.0,0.0,0.0,0.0,0.0
108,why only from sunday should closed travellers from those seven regions immediately was first detected mid nov and one infected traveller each has already gone hong kong and israel today who knows how many they have already infected now the target prevent entry the variant into our country while more research done then border closure these seven regions should done immediately the worst factor that the four cases found botswana were all foreigners diplomatic mission and have all already left the country diplomats they could have gone anywhere since and might even have been accorded special quick access based their status diplomats,1.0,1.0,0.0,1.0,0.0
109,and roll the dice again hoping against hope that not find disaster our door once more keeping malaysia fingers crossed,1.0,0.0,0.0,0.0,0.0
111,the product either good bad depend the materials,0.0,0.0,0.0,0.0,0.0
112,fiost ths case bad material bad product,0.0,0.0,0.0,0.0,0.0
113,fiost you admit tht bad thn mad same goes marketing products especially whn you force threaten people get then really really bad evil,0.0,0.0,1.0,1.0,0.0
114,fiost nothing comes for free you have price pay evrything especially when comes frm the garment,0.0,0.0,0.0,1.0,0.0
115,now being human have live jabs booster keep change better mask went outing,0.0,0.0,1.0,0.0,0.0
116,immunity good though the worry whether the new variant breaks the immunity,0.0,0.0,0.0,0.0,0.0
117,thanks for opening border hope everybody come here safely and negative covid nineteen,0.0,0.0,0.0,1.0,0.0
118,this what happens when you rush open discriminate the unvaccinated risking more lives back square one should cancel the vaccinated travel lane once infiltrates its hard eradicate,0.0,0.0,0.0,0.0,1.0
119,shit here again,0.0,0.0,0.0,0.0,0.0
120,variants spikes well when china had and has those but didn stop peoples action party from letting them freely,0.0,0.0,0.0,0.0,1.0
121,still open united kingdom wow,1.0,0.0,0.0,0.0,0.0
122,ease restriction within the country close down flights from new variant countries its that easy,0.0,0.0,0.0,1.0,0.0
123,closed like hell still the virus sneaked,0.0,0.0,0.0,0.0,0.0
124,this vaccination has data what ever,0.0,0.0,0.0,0.0,0.0
125,let roll the red carpet welcome the south african variants into the lion city since are hospitable and liberal extend vaccinated travel lane more countries,0.0,0.0,0.0,1.0,1.0
126,within the cubation period that where everything falls apart mind manipulation maneuver singaporeans these episodes clearly showed citizen life safety and well being are secondary the eyes the miw,0.0,0.0,0.0,0.0,1.0
127,let welcome also virus arrive,0.0,0.0,0.0,0.0,0.0
128,let just shut down the economy and lose our jobs maybe that works better for you,0.0,1.0,0.0,0.0,0.0
129,bryan wang yeap you can shut down your life and then you can work hell good for all your buddies are there everyone will agree with you,0.0,0.0,0.0,0.0,0.0
130,angel not sure you got malaysia point anyway,1.0,0.0,0.0,0.0,0.0
131,bryan wang maybe you don understand what you are talking about and what you will getting,0.0,0.0,0.0,0.0,0.0
132,lin you think that opening the economy will really benefit the common people don you know that even before the pandemic how many singaporeans this country have been infected with the present system guess who are the people who really still having their time their lives even during the pandemic what really happening right now called karma,0.0,1.0,0.0,1.0,1.0
133,angel philippines there are people who live trash you are too comfortable know and probably feel too entitled,0.0,1.0,0.0,0.0,0.0
134,lin ignorance the core don worried you will soon learn what singapore really called karma,1.0,0.0,0.0,1.0,0.0
136,lin you poor soul you will learn soon not everyone can make things come true let find out soon,0.0,0.0,0.0,0.0,0.0
137,angel how soon soon still flirting with sins angel,0.0,1.0,0.0,0.0,0.0
138,lin shame shall upon those who lives ignorance soon very soon unfortunate that one never knows what gets into with such arrogance even with the virus one still never learns sad patient sooner than you think,0.0,0.0,0.0,1.0,0.0
139,lin papies out full force can see why one needs the ground for long,0.0,0.0,0.0,0.0,0.0
140,lin told you wait already impatient for karma deliver maybe tonight,0.0,0.0,0.0,0.0,0.0
141,bryan wang the answer big,0.0,0.0,0.0,0.0,0.0
142,aren they trying push the responsibilities paying and testing singaporeans while they continue open and benefitting the rich their cronies companies and the airport end singaporeans risk and pay for them,0.0,1.0,0.0,0.0,1.0
143,hopefuly not repeat these cases again since the covid first import from wuhan,0.0,0.0,0.0,1.0,0.0
144,how many more life you incompetent peoples action party government gon sacrifice,0.0,0.0,0.0,0.0,0.0
145,and what happened living with covid thought that all got vaccinated there would not more problems with people bring new variants wait maybe need the shot can the ministers please immediately make the and shot invalid and straight the fourth need all patriots glassloots frontliners take the now before the new variant arrives,0.0,0.0,0.0,1.0,1.0
146,sigh anyone can comment but not everyone should allowed comment,0.0,0.0,0.0,0.0,0.0
147,who said,0.0,0.0,0.0,0.0,0.0
149,,0.0,0.0,0.0,0.0,0.0
150,point talking covid numbers still high coerced vaccination does not help either,0.0,0.0,0.0,1.0,0.0
152,today halt the economy and our lives everytime there mutation the covid flu virus can please open and follow thru with the plan living with covid,0.0,0.0,1.0,1.0,0.0
153,shadostorm and what your point every day assess risk when cross street avoid being hit car daily life risk assessment cars trains airplanes don need totalitarian government control united states,1.0,1.0,1.0,0.0,0.0
154,vtl and from south africa please,0.0,0.0,0.0,0.0,0.0
155,why not will come here eventually like delta let come sooner get some immunity,0.0,0.0,0.0,1.0,0.0
156,should quickly bar travellers from hong kong too,1.0,0.0,0.0,0.0,0.0
157,problem lah the world linked and inter connected,0.0,0.0,1.0,0.0,0.0
158,congrats kean yew for defeating the current world one good luck going all the way the final three rounds,0.0,0.0,0.0,0.0,1.0
159,who strongly recommends against any movement restrictions within and out countries vaccinated not,0.0,0.0,0.0,0.0,0.0
160,vax are equally con gious particularly the intention expand towards higher risks countries,0.0,0.0,0.0,0.0,1.0
162,who tourist promotion board,0.0,0.0,0.0,0.0,0.0
163,each mutation makes the virus neutral weaker never stronger the more mutates the better get your facts right,0.0,1.0,0.0,0.0,0.0
164,woofwoofchssubstantiate your falsehoods and stop your,0.0,0.0,0.0,0.0,0.0
165,richard wong all singaporeans should careful enterprise machineries being deployed manipulatively mind maneuver thinking into falsehoods and attempts divert down play the seriousness such small countries and have rely many these falsehoods machineries what shame,0.0,1.0,0.0,0.0,1.0
166,richard wong majority singaporeans are educated and are very clear the enterprise machineries deployed fool them just check cdc and the answer found such single party proven yet again unwise and dangerous,0.0,1.0,0.0,0.0,1.0
167,richard wong who tourist promotion board,0.0,1.0,0.0,0.0,0.0
168,substantiate your,0.0,0.0,0.0,0.0,0.0
171,woofwoofchs majority singaporeans are educated and are very clear the enterprise machineries deployed fool them just check cdc and the answer found such single party proven yet again unwise and dangerous,0.0,1.0,0.0,0.0,1.0
172,come enough talk back your silly claim,0.0,0.0,0.0,0.0,0.0
173,richard wong the simple fact itself variant the virus,0.0,1.0,0.0,0.0,0.0
174,woofwoofchs worry the link for educated singaporeans who will certainly know how watch you for moment think that would waste malaysia time educate you you must out your crazy mind,1.0,0.0,0.0,0.0,1.0
175,worry the link for educated singaporeans who will certainly know how watch you for moment think that would waste malaysia time educate you you must out your crazy mind,1.0,0.0,0.0,0.0,1.0
177,why these people keep lying about covid variants its already known that delta variant any variant will only ever neutral weaker almost never more effective any standard,0.0,1.0,0.0,1.0,0.0
178,citations needed,0.0,0.0,0.0,0.0,0.0
179,protests across the world for freedom solution invent another variant,0.0,0.0,0.0,0.0,0.0
180,next they say variant will give people mental illness everyone have quarantine imh,0.0,1.0,0.0,0.0,0.0
181,absolutely that how simple play the variants game but when watch countries like tanzania and many african countries people already get their normal life,0.0,0.0,0.0,0.0,1.0
182,that work they invent stronger variant,0.0,0.0,0.0,0.0,0.0
183,long all stand firm against all form coercion threat propaganda etc let them invent and invent thousand million kinds variants that not going help them win the battle all those who stands firm eventually win the battle,0.0,0.0,1.0,0.0,0.0
184,the worst ever thing one can imagine singapore they utterly speechless,1.0,1.0,0.0,0.0,0.0
185,welcome singapore welcome come and live with the virus and sleep with the virus,1.0,0.0,0.0,0.0,0.0
186,kai yin,0.0,0.0,0.0,0.0,0.0
187,joe kerr too much false intelligence are harmful you,0.0,0.0,0.0,0.0,0.0
188,peter taylor kid you not people like you with your half baked conspiracy theory can and take hike,0.0,1.0,0.0,0.0,0.0
189,joe kerr must miserable under that bed feel sorry for you actually don,0.0,1.0,0.0,0.0,0.0
190,when open border for bangladesh now bangladesh covered nineteen less,0.0,0.0,0.0,0.0,0.0
191,joe kerr nice meltdown joe,0.0,0.0,0.0,0.0,0.0
192,the fear the new coronavirus variant comes true many nations may have reintroduce the economically painful lockdown restrictions,0.0,1.0,0.0,1.0,0.0
193,singapore authority must immediately acts stops all visitors that had been seven countries ofsouth africa also must ban singapore citzens south africa will bring back new deadly south africa corona virus variant that causes major disaster singapore community singapore authority must implement more control measures prevent the deadly variant corona virus from south africa enter singapore singapore authority must always immediately ban all visit south africa during certain duration and some visitors might not tell the truth that had visited south africa throw away old visiting recording and get new document that didn shown that the visitors had been south africa singapore authority must never never complacency that testing will able detection the new deadly variant corona virus from south africa and must have ways detection the new deadly variant corona virus from south africa,1.0,0.0,0.0,1.0,0.0
194,because they are most easily fooled,0.0,0.0,0.0,0.0,0.0
195,wumao are easier fooled than singaporeans since their access information blocked,0.0,0.0,0.0,0.0,1.0
196,what careful safeguards are still importing cases from who knows where how sure the minister that the african variants won creep into our society like the delta probably causing thousands more cases and hundreds more deaths,0.0,0.0,0.0,1.0,1.0
197,you already gave peoples lives lol what fake concern,0.0,0.0,0.0,0.0,0.0
198,the biggest risk opening fully opening for new virus variants,0.0,0.0,0.0,0.0,0.0
199,besides giving singaporean life our jobs our future and our pride too,0.0,0.0,0.0,0.0,1.0
200,chew sean where the bone skull,0.0,0.0,0.0,0.0,0.0
201,fiost please not give flippant replies there are people struggling their lives jobs etc you not see their pain and anguish can see you are quite heartless but not sure whether you are scumbag,0.0,0.0,0.0,0.0,0.0
202,side side safely reopening with new variants,0.0,0.0,0.0,0.0,0.0
203,safely reopening singapore contradiction terms given the question how long have before get new variant that makes vaccination useless food for thought,1.0,0.0,0.0,0.0,0.0
204,this new ones the one which make vaccination useless,0.0,0.0,0.0,0.0,0.0
205,des chan your existing post already very unpleasant strongly advise you refrain from showing open des,0.0,1.0,0.0,0.0,0.0
206,vaccination already useless,0.0,0.0,0.0,0.0,0.0
207,yes agree with you strongly this point,0.0,0.0,0.0,0.0,0.0
208,there nothing fear the virus only ever remain neutral weaker with each variant more mutations better,0.0,1.0,0.0,0.0,0.0
209,your boosters are already obsolete,0.0,0.0,0.0,0.0,0.0
210,even europe countries increased especially england,0.0,0.0,0.0,0.0,0.0
211,are these new variants introduced the smart virus itself some,0.0,0.0,0.0,0.0,0.0
212,prepare for your booster new variant coming soon the old variant welcomes gladly,0.0,0.0,0.0,1.0,0.0
213,fark their booster,0.0,0.0,0.0,0.0,0.0
214,the risk now highest ever the butterfly effect unmistakably the covid curve longer flattened but gone into overdrive and hit above one thousand cases,0.0,1.0,0.0,1.0,0.0
215,hopefully the pharmas will able quickly manufacture proper vaccine for this variant,0.0,1.0,0.0,0.0,0.0
216,how many years are going this,0.0,0.0,0.0,0.0,0.0
217,not how many years are going this not who are doing this something thrust upon humankind and what are doing are try our best rise the challenge despite the flaws and weaknesses that have that what should and are going,0.0,1.0,0.0,0.0,0.0
218,that alex karp the thumbnail shall buy pltr tonight,0.0,0.0,0.0,0.0,0.0
219,for those fully vaccinate naive and dumb think you guys are risk free from dying best merely lower the risk total infected number increases the risk increases accordingly,0.0,1.0,0.0,0.0,0.0
220,must from lions,0.0,0.0,0.0,0.0,0.0
221,the new variant from africa like which reported bypass the spike protein defences which most our vax are jabbed with,0.0,1.0,0.0,1.0,0.0
222,has over fifty mutations and feared bypass vaccine defenses,0.0,0.0,0.0,0.0,0.0
223,new variants singapore covid direction will expected tax our already exhausted health care people hope the govt are prepared,1.0,0.0,1.0,1.0,0.0
224,don worry the govt got enough money from pfizer business nothing free something free you are the product,0.0,0.0,1.0,0.0,0.0
225,new variant has thirty mutations and fears vaccine evasions cases detected botswana and passenger hong kong who arrived from,1.0,1.0,0.0,0.0,0.0
227,read carefully what those msm like reuters say obviously the blame the unvaccinated again its all because this unvaccinated young woman blah blah blah and within seconds millions such messages would spread across the world the msm,0.0,1.0,1.0,0.0,0.0
228,sir thanksgiving,0.0,0.0,0.0,0.0,0.0
229,viral load for vaccinated isn reduced mrna just lousy crappy flu jab,0.0,0.0,1.0,0.0,0.0
230,woofwoofchs out mutations its spike protein ten are the binding domain those that attach the receptor the cell indication high transmission and infection characteristic the delta had only two binders its spike there are lots material the net read,0.0,1.0,0.0,1.0,0.0
231,marko another concoction fauci experiment,0.0,0.0,0.0,0.0,0.0
232,korea eight hundred people had wait for hours for bed hospital that what living with covid means singapore,1.0,1.0,0.0,1.0,0.0
233,african lion got the new variant,0.0,0.0,0.0,0.0,1.0
234,lock for what,0.0,0.0,0.0,0.0,0.0
235,looks like for residents the horizon,0.0,0.0,0.0,0.0,0.0
236,icu critical cases percentage total infected regardless fully vaccinated single vaccinated and unvaccinated its still percentage total infected each category death rate will definite increases total infected shoot someone out destroy singapore,1.0,1.0,0.0,0.0,0.0
237,here again,0.0,0.0,0.0,0.0,0.0
238,round and round and round again,0.0,0.0,0.0,0.0,0.0
239,every country will get sharing with one another,0.0,0.0,0.0,0.0,0.0
240,please ahead with the kid immunisation fast possible the dosage the biontech one three the adult dosage true there other change which should not otherwise needed again all three phases clinical testing please evaluate diluting here singapore possible,1.0,1.0,0.0,0.0,0.0
241,see how this goes every year new scary variant around the corner one seems care that singapore all because excess death rate does not show any signs health care crisis whatsoever they can keep this narrative going forever this virus gon mutate forever,1.0,0.0,0.0,1.0,0.0
242,minister iswaran hope you have the tools ready having spore learnt hard lessons last mtf hand,0.0,0.0,1.0,0.0,0.0
243,hong kong very closed now have this variant why,1.0,0.0,0.0,0.0,0.0
244,tim must big blow them,0.0,0.0,0.0,0.0,0.0
245,like the new setting and smile,0.0,0.0,0.0,0.0,0.0
246,yes well said indeed,0.0,0.0,0.0,0.0,0.0
248,that been looking forward teenage mutant ninja turtles since forever,0.0,0.0,0.0,0.0,1.0
249,everybody knows one virus mutation has not stopped two existing vaccines are not effective preventing infection critical condition and death three effective medication not available only rumored medication ivermectin denial authority given such conditions they choose open and live with virus now they raised concern thats strange and puzzling,0.0,0.0,0.0,1.0,0.0
250,des chan rather than complain which everyone with half brain can any positive suggestions provide that doesn result tanking our economy and the livelihood the common singaporean,0.0,0.0,0.0,0.0,1.0
251,clearly covid nineteen predominantly spread fully vaccinated deliberate opening travel lanes intended push the total infected number new height putting singaporeans unnecessary risk that irresponsible and selfish act that need condemn,0.0,1.0,0.0,1.0,1.0
252,bryan wang complain pea brain everything complain,0.0,0.0,0.0,0.0,0.0
253,des chan lol everyone that has brain knows existing vaccines has proven effective data have been provided you many times and you called fake this more strange and puzzling,0.0,1.0,0.0,1.0,0.0
254,des chan spoon feed you with data again but too bad your pea brain can process well hope other people that viewed this can over the past seven days the number fully vaccinated and non fully vaccinated cases who are critically shall shall will the icu are zero five and four five per one hundred zero population respectively over the same period the number fully vaccinated and non fully vaccinated cases who died are zero two and zero five per one hundred zero population respectively among seniors aged sixty and above the number fully vaccinated and non fully vaccinated cases who are critically shall shall will the icu are one six and eight respectively the number fully vaccinated and non fully vaccinated seniors who died are zero one and five five respectively,0.0,1.0,0.0,0.0,0.0
255,des chan lol that the best you got pathetic,0.0,0.0,0.0,0.0,0.0
256,money the god will grant protection hopefully can pay the price down the road,0.0,0.0,0.0,0.0,0.0
257,bochapliao thanks they just released bark brainlessly not worth our time,0.0,0.0,0.0,0.0,0.0
258,bochapliao lol you must one his antivax friends least have brain you guys don have one,0.0,1.0,0.0,0.0,0.0
259,there such thing safely opening singapore either you while considering our health and safety without period,1.0,1.0,0.0,0.0,0.0
260,closed very tightly still came,0.0,0.0,0.0,0.0,0.0
261,fiost simple you knock they open,0.0,0.0,0.0,0.0,0.0
262,new restrictions have been placed travellers from several african countries the ministry health moh amid reports potentially more contagious variant the covid nineteen virus circulating that region,0.0,1.0,1.0,1.0,1.0
263,prepared for the inevitable south africa variant will come like how delta did,0.0,0.0,0.0,1.0,0.0
264,dun worry lah since our mts are elite and smart they always the best leaders this world but disappointed lol,0.0,0.0,1.0,0.0,0.0
265,what this time already,0.0,0.0,0.0,0.0,0.0
266,vincecarlo mrna was developed for initial covid nineteen not variant thats why vaccines not working,0.0,0.0,0.0,1.0,0.0
267,there nothing fear delta variant nonsense the virus only ever remain neutral weaker with each variant more variants the better,0.0,1.0,0.0,1.0,0.0
268,delta came direct from india already hong kong,1.0,0.0,0.0,1.0,0.0
269,sarcasm from the replies does help provide avenue vent the frustrations are feeling now hopefully you guys feel better after venting,0.0,1.0,0.0,0.0,0.0
270,whether like not will come here eventually again mtf blamed suppose can reason more,0.0,0.0,0.0,0.0,1.0
271,lin that say nothing becos none virus experts better than those self procliam virus handling expert,0.0,1.0,0.0,0.0,0.0
272,vincecarlo even the booster shot was for initial covid virus,0.0,0.0,0.0,1.0,0.0
273,tim can even afford ticket let alone the accommodation and food,0.0,0.0,0.0,0.0,0.0
274,thulomanchay fan the wuhan clan,0.0,0.0,0.0,0.0,1.0
275,tim yes especially for people who have voice speak make noise they can heard too not just your gong,0.0,1.0,0.0,0.0,0.0
276,lin true money buy ticket hotel and food but got friends sponsor him out any problem,0.0,0.0,0.0,0.0,0.0
277,huang which group you belong,0.0,0.0,0.0,0.0,0.0
278,the best thing now for all the patriots glass loots take their boosters soon possible and get their kids into the trials then boost them well,0.0,0.0,0.0,0.0,1.0
279,,0.0,0.0,0.0,0.0,0.0
280,the safest safety avoidance for example face face mtp sessions while gates are opened for enterprise businesses,0.0,0.0,0.0,1.0,0.0
